"kid_score"	"mom_hs"	"mom_iq"
113	1	121
98	1	89
86	1	115
97	1	99
94	1	93
105	0	108
102	1	139
84	1	125
86	1	82
74	1	95
59	1	89
63	1	95
76	1	89
116	1	114
80	0	101
140	1	120
91	1	114
55	1	112
108	1	134
81	0	97
92	1	110
58	1	127
62	1	98
101	1	100
74	0	98
106	1	122
74	1	99
86	1	98
83	1	80
108	1	114
75	1	109
87	1	102
95	1	118
98	0	109
71	1	97
55	1	93
93	1	96
74	1	107
75	1	87
114	1	89
87	1	103
80	1	130
102	1	83
81	1	126
51	0	86
120	1	127
76	1	79
59	1	113
68	1	110
70	1	99
106	1	102
100	1	125
75	1	95
94	1	92
54	1	102
61	0	80
95	1	96
79	0	82
40	0	77
81	1	110
88	1	112
91	1	114
80	0	101
82	1	101
81	1	102
89	1	99
69	1	93
71	1	87
69	1	87
52	1	86
72	1	90
109	0	122
93	0	128
91	1	110
94	1	90
74	1	89
84	1	113
54	0	78
56	1	95
46	0	84
90	0	86
79	1	95
58	1	111
79	1	127
81	1	90
105	1	99
89	1	81
76	1	111
96	1	136
91	1	124
98	1	135
76	1	91
81	1	103
82	1	126
102	1	128
60	0	92
66	1	85
106	0	101
81	0	108
65	0	79
106	1	121
91	1	103
72	1	100
98	1	89
76	1	85
65	1	119
75	1	91
80	1	96
88	1	128
83	1	120
121	0	112
90	1	93
122	1	96
52	1	91
69	1	103
61	1	100
73	1	90
77	1	115
81	0	97
106	1	106
64	1	98
94	1	132
80	1	102
64	1	93
105	1	104
109	1	104
70	0	107
90	1	93
79	1	94
87	1	93
56	1	83
109	1	71
104	1	128
80	1	116
71	0	91
79	1	133
56	1	73
71	1	101
86	1	133
89	1	99
98	1	116
91	1	117
114	1	136
63	1	107
119	1	134
62	1	105
88	1	99
83	1	100
78	1	90
85	1	121
123	1	113
103	1	126
70	1	123
94	1	115
79	1	92
66	1	89
88	1	107
74	1	105
84	1	104
70	1	110
91	0	88
107	0	117
70	1	126
90	1	123
94	1	121
74	1	93
76	1	99
87	1	124
80	0	113
66	1	116
69	1	115
59	1	94
73	1	122
87	1	90
57	0	83
73	1	99
35	1	114
63	1	98
51	1	90
64	1	120
71	0	97
68	1	85
66	1	102
99	1	99
88	0	99
63	1	97
70	1	108
58	1	101
58	1	99
111	1	114
77	0	93
54	0	88
68	0	106
59	0	103
67	1	99
87	0	107
68	1	99
89	1	102
35	1	93
67	1	117
92	1	85
104	0	116
115	1	113
77	1	107
73	1	96
61	0	77
81	1	89
99	1	112
49	1	111
112	1	110
101	0	108
77	1	105
101	0	108
84	1	109
129	1	134
92	1	129
67	1	101
70	1	87
61	1	118
94	1	120
73	1	90
87	1	80
109	1	137
82	1	102
65	1	133
66	1	96
133	1	118
106	1	118
91	1	102
83	0	94
65	1	85
85	1	87
104	1	129
95	1	128
79	1	107
107	1	106
76	1	117
34	1	119
83	1	103
52	0	108
105	1	126
75	1	102
91	0	99
64	1	92
81	1	84
75	1	84
90	1	79
78	1	91
76	1	90
90	1	79
82	1	109
55	1	77
100	1	98
52	1	129
96	0	114
96	0	114
87	1	113
78	0	75
60	0	82
88	1	103
73	1	101
59	1	112
101	0	123
65	1	87
94	1	100
104	1	102
80	1	88
58	0	80
81	0	80
66	1	91
42	1	86
99	1	113
69	1	112
83	1	101
31	0	82
48	0	81
87	1	81
79	1	121
116	1	102
64	1	91
69	1	104
81	1	102
92	1	122
58	0	89
113	0	90
85	0	84
52	1	92
78	1	87
41	0	80
84	0	84
61	0	78
69	0	82
63	1	77
106	1	90
64	0	80
75	1	82
57	0	80
65	0	77
71	0	83
89	1	89
60	1	89
48	0	89
65	1	119
65	1	84
73	1	84
83	1	105
69	1	108
100	1	97
65	1	104
51	0	98
82	1	89
89	1	107
71	1	90
84	1	109
68	1	101
70	1	119
89	1	96
79	1	85
84	1	101
72	1	87
87	0	78
110	1	85
61	1	93
63	1	75
108	1	115
82	1	107
75	1	102
70	1	98
106	1	97
70	1	111
109	1	109
74	1	82
93	1	93
79	1	116
94	0	84
94	1	116
81	1	99
69	1	87
55	1	77
91	1	81
64	0	82
68	1	85
78	1	93
86	1	89
87	1	103
53	0	87
85	0	98
135	1	121
24	1	92
67	1	88
63	1	90
88	1	84
78	1	97
54	1	96
36	1	89
101	0	92
113	1	108
79	1	80
74	0	100
73	1	90
82	1	94
67	1	104
74	1	77
88	1	118
78	1	80
109	1	84
93	1	89
81	1	83
70	1	87
98	1	89
59	1	92
53	1	91
77	1	84
57	1	93
65	0	86
65	1	99
88	1	96
78	1	101
98	1	86
105	1	83
94	1	99
70	0	82
65	0	86
64	0	79
49	0	75
45	1	81
93	1	116
89	1	97
85	0	81
81	1	80
73	1	98
99	1	109
54	0	81
68	1	101
75	1	91
66	1	83
71	1	90
100	1	131
117	1	125
94	1	92
82	0	93
70	0	92
75	0	89
119	1	126
87	0	85
65	0	83
60	1	102
74	1	100
50	1	110
81	0	89
71	1	107
101	1	95
59	1	108
63	1	110
77	1	117
86	0	87
71	1	97
94	0	90
97	1	89
86	0	74
69	0	92
90	0	96
73	0	97
85	1	132
104	1	78
101	1	128
106	1	125
70	0	80
56	0	75
88	0	85
89	1	93
55	0	95
45	1	97
83	1	91
