"karat" "barva" "cena"
"1" 0.42 "Brezbarven" 773
"2" 0.55 "Brezbarven" 1580
"3" 1.15 "Brezbarven" 7662
"4" 0.72 "Skoraj brezbarven" 1866
"5" 1.08 "Skoraj brezbarven" 6561
"6" 0.73 "Brezbarven" 3255
"7" 0.72 "Brezbarven" 1808
"8" 0.91 "Brezbarven" 3726
"9" 0.53 "Skoraj brezbarven" 1093
"10" 0.6 "Brezbarven" 2484
"11" 2.43 "Rumen" 17856
"12" 0.3 "Rumen" 427
"13" 1.11 "Brezbarven" 10602
"14" 0.32 "Brezbarven" 825
"15" 1.31 "Rumen" 5612
"16" 0.93 "Brezbarven" 2618
"17" 0.38 "Brezbarven" 1000
"18" 0.34 "Brezbarven" 803
"19" 1.54 "Rumen" 11651
"20" 0.5 "Rumen" 1317
"21" 0.55 "Brezbarven" 1401
"22" 0.72 "Rumen" 2048
"23" 1.01 "Brezbarven" 3604
"24" 1.31 "Skoraj brezbarven" 6602
"25" 0.4 "Brezbarven" 687
"26" 1.09 "Skoraj brezbarven" 5219
"27" 0.54 "Skoraj brezbarven" 1338
"28" 0.5 "Brezbarven" 1624
"29" 1.5 "Brezbarven" 6300
"30" 1.23 "Skoraj brezbarven" 10317
"31" 1.02 "Skoraj brezbarven" 4727
"32" 1.12 "Skoraj brezbarven" 8721
"33" 0.71 "Brezbarven" 3464
"34" 0.31 "Skoraj brezbarven" 755
"35" 1.59 "Brezbarven" 13298
"36" 0.82 "Brezbarven" 3363
"37" 0.73 "Brezbarven" 2504
"38" 0.38 "Skoraj brezbarven" 898
"39" 1.13 "Brezbarven" 6563
"40" 0.77 "Brezbarven" 3644
"41" 0.41 "Brezbarven" 711
"42" 1.01 "Rumen" 4641
"43" 1.35 "Skoraj brezbarven" 10378
"44" 1 "Skoraj brezbarven" 5806
"45" 0.31 "Rumen" 507
"46" 0.4 "Brezbarven" 945
"47" 1.35 "Brezbarven" 5761
"48" 1.34 "Brezbarven" 7305
"49" 0.3 "Brezbarven" 500
"50" 0.27 "Brezbarven" 620
"51" 0.91 "Brezbarven" 3846
"52" 0.7 "Skoraj brezbarven" 3384
"53" 0.4 "Brezbarven" 666
"54" 0.32 "Brezbarven" 900
"55" 0.34 "Brezbarven" 745
"56" 0.9 "Brezbarven" 4381
"57" 2.01 "Skoraj brezbarven" 12450
"58" 1.2 "Brezbarven" 6098
"59" 0.52 "Brezbarven" 2168
"60" 0.77 "Brezbarven" 3318
"61" 1.06 "Skoraj brezbarven" 4878
"62" 0.4 "Brezbarven" 662
